datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18;D19;F19;D20;F20;D21;F21;D22;F22;D23;F23
23.02.2025;Bundestagswahl;03159016;204;204 Danziger Straße (1);1;1;563;255;0;818;485;7;2;483;2;483;123;93;56;50;157;146;12;17;31;26;91;132;;3;;0;;2;2;1;;1;11;1;;1;0;1;;0;;9;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;205;205 Danziger Straße (2);1;1;571;203;0;774;460;0;3;457;2;458;129;101;65;58;107;119;10;13;33;35;101;106;;2;;0;;1;4;1;;2;6;2;;0;2;0;;0;;18;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;206;206 Danziger Straße (3);1;1;542;194;0;736;424;3;2;422;1;423;116;89;80;72;91;99;10;9;37;38;77;86;;8;;0;;3;0;0;;1;11;6;;1;0;0;;0;;11;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;207;207 Stadtstieg (1);1;1;558;191;0;749;446;3;5;441;3;443;148;140;89;73;78;78;8;12;49;47;60;67;;2;;0;;2;4;4;;2;4;2;;0;1;1;;0;;13;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;208;208 Stadtstieg (2);1;1;715;320;0;1035;580;3;5;575;3;577;173;139;100;83;124;119;12;16;67;66;82;112;;8;;3;;3;4;0;;3;13;1;;1;0;0;;1;;22;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;209;209 Sandersbeek (1);1;1;645;259;0;904;508;1;5;503;5;503;122;115;112;84;125;127;12;12;38;42;73;90;;4;;0;;1;1;1;;3;19;9;;0;1;0;;0;;15;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;210;210 Sandersbeek (2);1;1;658;220;0;878;539;4;6;533;4;535;167;148;120;98;115;119;15;16;48;51;57;78;;4;;1;;2;2;0;;2;9;1;;0;0;0;;0;;15;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;211;211 Tegeler Weg (1);1;1;601;178;0;779;422;2;5;417;3;419;122;125;92;69;31;22;10;15;110;107;43;44;;2;;3;;0;1;1;;0;6;2;;0;2;0;;0;;29;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;212;212 Tegeler Weg (2);1;1;374;310;0;684;207;6;0;207;1;206;66;62;80;75;31;41;7;8;7;5;15;10;;1;;0;;0;1;1;;0;0;0;;0;0;0;;0;;3;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;213;213 Gehrenring;1;1;471;225;0;696;405;4;5;400;5;400;102;97;107;95;91;86;20;23;37;35;38;40;;6;;0;;4;1;0;;0;4;1;;0;0;0;;0;;13;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;214;214 Trift (1);1;1;627;249;0;876;537;2;4;533;2;535;147;127;146;126;91;93;17;12;55;67;65;78;;5;;0;;1;5;4;;0;7;3;;0;0;0;;1;;18;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;215;215 Trift (2);1;1;593;241;0;834;463;3;5;458;2;461;110;91;111;105;99;107;18;14;58;58;51;56;;5;;0;;2;6;4;;1;4;1;;0;1;0;;0;;17;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;216;216 Alt-Geismar (1);1;1;647;220;0;867;562;9;2;560;2;560;134;111;125;110;140;136;14;20;45;41;80;94;;8;;0;;5;5;1;;1;17;5;;0;0;0;;2;;26;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;217;217 Alt-Geismar (2);1;1;654;231;0;885;533;7;4;529;3;530;140;125;128;117;115;109;16;15;46;47;74;83;;3;;0;;3;6;1;;0;4;6;;0;0;0;;1;;20;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;218;218 Treuenhagen (1);1;1;430;178;0;608;378;3;2;376;2;376;99;79;103;83;98;87;13;19;27;35;31;57;;2;;2;;1;3;1;;0;2;0;;0;0;0;;0;;10;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;219;219 Treuenhagen (2);1;1;430;160;0;590;373;0;1;372;1;372;97;90;93;86;100;84;8;10;23;26;45;63;;1;;0;;3;0;0;;0;6;4;;0;0;0;;0;;5;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;220;220 Kiessee-Karree (1);1;1;434;153;0;587;362;2;7;355;6;356;86;61;96;83;86;99;10;13;32;32;36;42;;2;;0;;1;3;0;;0;6;2;;0;0;0;;1;;20;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;221;221 Zietenterrassen (1);1;1;927;265;0;1192;734;1;2;732;10;724;173;144;162;138;158;139;41;44;92;94;93;108;;3;;1;;2;2;1;;3;10;10;;1;1;0;;0;;36;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;222;222 Kiessee-Karree (2);1;1;507;211;0;718;467;1;2;465;1;466;126;104;112;93;147;162;14;15;27;36;33;44;;1;;0;;0;3;2;;0;3;3;;0;0;0;;0;;6;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;223;223 Zietenterrassen (2);1;1;480;202;0;682;435;0;5;430;2;433;95;76;121;110;120;122;32;38;35;34;16;30;;1;;0;;4;4;2;;1;6;2;;0;1;0;;0;;13;;;;;;;;;;;;;;
