datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18;D19;F19;D20;F20;D21;F21;D22;F22;D23;F23
23.02.2025;Bundestagswahl;03159016;511;511 Goethe-Allee;1;1;561;353;0;914;476;2;2;474;1;475;117;58;47;33;137;151;10;15;20;24;131;170;;1;;1;;3;2;1;;0;10;4;;1;0;1;;0;;12;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;512;512 Nikolaistraße (1);1;1;529;286;0;815;433;3;2;431;2;431;99;50;57;58;120;106;5;11;12;11;121;166;;0;;0;;3;1;0;;0;11;7;;0;5;1;;0;;18;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;513;513 Albanikirchhof;1;1;761;381;0;1142;658;5;3;655;3;655;142;92;96;88;205;192;24;25;28;31;145;199;;2;;1;;5;1;1;;1;14;5;;2;0;0;;0;;11;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;514;514 Theaterstraße (1);1;1;374;152;0;526;303;4;3;300;3;300;69;45;51;40;93;88;11;14;16;13;53;83;;0;;0;;2;2;1;;0;3;2;;0;2;0;;1;;11;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;515;515 Deutsches Theater;1;1;640;321;0;961;561;3;5;556;2;559;101;81;100;85;208;207;30;40;26;27;78;91;;2;;0;;1;1;0;;0;11;9;;1;1;0;;1;;14;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;516;516 Nikolaistraße (2);1;1;352;174;0;526;286;2;0;286;0;286;73;48;16;14;90;81;10;8;15;14;71;103;;4;;1;;2;5;1;;0;5;4;;0;1;1;;0;;5;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;517;517 Theaterstraße (2);1;1;361;189;0;550;307;1;2;305;1;306;54;29;29;29;91;86;9;6;12;16;92;123;;3;;0;;1;3;1;;0;9;4;;0;6;2;;0;;6;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;518;518 Sültebecksbreite (2);1;1;688;246;0;934;553;3;3;550;0;553;162;122;67;53;118;126;16;21;45;44;129;148;;6;;0;;6;3;1;;0;6;2;;1;4;2;;0;;21;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;519;519 Arndtstraße;1;1;755;398;0;1153;611;9;7;604;4;607;147;81;70;56;169;150;23;24;48;48;133;197;;5;;1;;3;3;2;;1;10;6;;0;1;0;;0;;33;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;520;520 Güterbahnhof;1;1;656;352;0;1008;483;4;0;483;0;483;95;55;59;50;147;137;19;14;18;16;133;173;;1;;1;;2;0;1;;2;10;2;;2;2;0;;0;;27;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;521;521 Windausweg;1;1;498;206;0;704;440;1;2;438;1;439;116;99;83;79;129;114;6;5;23;20;74;99;;3;;1;;1;1;0;;0;4;2;;1;2;0;;1;;14;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;161;161 BW-Herberhausen;1;1;;;;;362;362;6;356;1;361;87;80;111;98;89;86;16;26;21;20;26;26;;4;;1;;1;3;2;;1;3;1;;0;0;0;;1;;14;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;162;162 BW-Roringen;1;1;;;;;171;171;0;171;0;171;43;41;65;63;30;30;5;5;14;13;11;9;;4;;0;;0;1;0;;0;2;1;;0;0;0;;1;;4;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;163;163 BW-Nikolausberg;1;1;;;;;676;676;3;673;0;676;164;137;243;206;151;165;32;49;29;30;39;61;;1;;0;;6;2;3;;0;13;3;;0;0;0;;1;;14;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;164;164 BW-Lohberg/Breslauer Straße;1;1;;;;;864;864;3;861;3;861;214;178;207;190;246;231;27;29;43;40;93;143;;10;;0;;6;7;3;;1;24;7;;2;0;0;;0;;21;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;165;165 BW-Beethovenstraße;1;1;;;;;796;796;4;792;1;795;205;156;192;181;246;244;31;40;28;25;77;115;;2;;2;;4;3;1;;0;10;7;;1;0;0;;0;;17;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;166;166 BW-Schillerwiese/Rohnsweg;1;1;;;;;829;829;1;828;2;827;181;154;283;240;218;221;43;60;24;25;60;91;;6;;2;;0;1;1;;5;17;2;;0;1;4;;0;;16;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;167;167 BW-Nonnenstieg/Grotefendstraße;1;1;;;;;908;908;3;905;0;908;198;146;297;245;224;252;39;60;36;40;89;131;;10;;0;;1;6;0;;1;16;1;;0;0;0;;1;;20;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;261;261 BW-Stegemühlenweg/Danziger Straße;1;1;;;;;1261;1261;10;1251;1;1260;349;284;170;157;399;357;28;36;48;45;211;296;;11;;2;;6;10;6;;1;35;24;;0;1;2;;0;;33;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;262;262 BW-Geismar (1);1;1;;;;;920;920;3;917;2;918;240;226;227;185;217;216;27;23;58;64;115;138;;11;;1;;8;12;7;;0;17;8;;0;4;4;;0;;27;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;263;263 BW-Geismar (2);1;1;;;;;866;866;4;862;4;862;270;286;294;252;164;164;21;25;41;44;46;57;;8;;0;;4;10;3;;0;16;1;;0;0;0;;0;;18;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;264;264 BW-Geismar (3);1;1;;;;;827;827;0;827;0;827;197;182;245;219;194;174;31;32;48;51;79;109;;5;;2;;4;8;5;;2;22;15;;0;3;0;;2;;25;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;265;265 BW-Geismar (4);1;1;;;;;939;939;10;929;3;936;194;185;261;224;284;273;47;51;39;47;73;108;;7;;6;;2;10;2;;0;17;1;;2;4;9;;2;;17;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;351;351 BW-Grone (1);1;1;;;;;496;496;2;494;1;495;139;123;132;110;82;81;20;20;50;50;51;58;;6;;2;;1;11;4;;0;9;8;;2;0;0;;0;;30;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;352;352 BW-Grone (2);1;1;;;;;256;256;1;255;0;256;69;52;60;56;50;50;4;3;32;32;29;40;;1;;0;;2;2;1;;0;9;7;;0;0;0;;0;;12;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;353;353 BW-Grone (3);1;1;;;;;375;375;1;374;1;374;112;103;108;85;51;55;8;13;36;38;41;43;;5;;0;;2;6;3;;0;12;4;;2;0;0;;0;;21;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;354;354 BW-Gr.Ellershausen/ Hetjershausen/ Knutbühren;1;1;;;;;477;477;0;477;0;477;117;108;172;154;79;83;11;16;53;48;29;33;;6;;1;;0;4;1;;0;9;5;;0;3;0;;0;;22;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;355;355 BW-Elliehausen/ Esebeck;1;1;;;;;674;674;4;670;0;674;193;193;221;193;91;86;25;26;63;74;41;45;;15;;0;;7;17;10;;2;15;4;;0;4;0;;0;;19;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;361;361 BW-Hagenberg/Egelsberg;1;1;;;;;830;830;1;829;0;830;218;175;159;138;192;172;28;19;62;71;133;180;;16;;5;;6;12;2;;2;22;11;;1;3;0;;0;;32;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;451;451 BW-Holtensen;1;1;;;;;241;241;0;241;0;241;71;68;76;72;43;43;7;2;14;15;15;15;;3;;1;;1;5;5;;0;8;2;;0;2;0;;2;;12;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;461;461 BW-Albrecht-Thaer-Weg/Holtenser Berg;1;1;;;;;578;578;1;577;0;578;171;126;107;94;137;123;20;17;47;49;78;125;;5;;0;;1;6;4;;0;11;5;;1;0;0;;1;;27;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;462;462 BW-Weende (1);1;1;;;;;1045;1045;3;1042;0;1045;260;186;203;176;344;351;44;51;41;45;117;178;;10;;3;;1;6;6;;1;27;15;;1;0;0;;1;;20;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;463;463 BW-Weende (2);1;1;;;;;1032;1032;3;1029;2;1030;247;190;235;213;311;306;34;30;53;60;104;161;;12;;1;;4;10;7;;1;33;15;;1;2;0;;0;;29;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;464;464 BW-Weende (3);1;1;;;;;1186;1186;3;1183;0;1186;341;250;244;219;340;340;34;47;41;47;145;215;;9;;0;;5;11;5;;2;26;11;;4;1;1;;1;;30;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;561;561 BW-Neues Rathaus/Jahnstadion;1;1;;;;;1031;1031;2;1029;1;1030;269;191;179;163;354;352;25;33;18;19;158;229;;3;;0;;0;6;3;;5;20;13;;0;0;0;;0;;19;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;562;562 BW-Leineberg/Bahnhof;1;1;;;;;1083;1083;8;1075;1;1082;276;210;182;149;298;299;39;37;62;69;180;248;;11;;1;;6;10;5;;0;24;9;;0;4;0;;0;;38;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;563;563 BW-Theaterstraße/Goetheallee;1;1;;;;;1109;1109;7;1102;4;1105;255;179;131;114;411;382;38;31;21;24;204;325;;3;;0;;3;5;0;;1;35;16;;1;2;0;;1;;25;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;564;564 BW-Deutsches Theater/Nikolaistraße;1;1;;;;;876;876;4;872;1;875;222;133;140;117;291;293;25;32;25;27;140;233;;2;;2;;2;4;1;;1;25;15;;0;0;0;;0;;17;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;565;565 BW-Arndstraße/Windausweg;1;1;;;;;896;896;3;893;0;896;237;161;123;105;290;270;31;40;31;34;154;239;;7;;2;;2;3;1;;3;23;11;;1;1;0;;0;;20;;;;;;;;;;;;;;
